"Ich freue mich sehr, heute die komplexe Thematik der Service-Dominant-Logic erklären zu dürfen.",0.0,6.54
"Service-Dominant-Logic bedeutet, egal was ein Unternehmen verkauft, es geht um den Nutzen oder den Service, den eine Leistung spendet.",7.5,18.21
Am Beispiel des Krankenhauses. Ein Krankenhaus liefert höchste medizinische Versorgung versus die Menschen verlassen einen Gesundheitsdienstleister mit einer besseren Lebensqualität.,18.21,33.55
"Die Service-Dominant-Logic basiert auf zehn fundamentalen Prämissen, wovon ich gerne im Folgenden die aus meiner Sicht vier wichtigsten näher erklären möchte.",34.51,45.08
Fundamentale Prämisse Nummer eins.,45.46,47.84
Die Basis eines jeden Leistungsaustausches ist Service gegen Service.,48.18,53.66
"Der Service von Tesla. Elektromobilität, ressourcenschonend, mit einem flächendeckenden Strom-Tankstellennetzwerk, komfortabel.",53.66,67.48
"Der Service, den der Kunde liefert, ist dafür zu bezahlen im Anschaffungspreis.",68.78,75.82
Aber auch die Gebühren für die Leistung.,75.82,79.38
"Die Strom-Tankstellen natürlich zu entrichten, beziehungsweise Daten zu liefern.",79.38,85.02
Fundamentale Prämisse Nummer zwei.,86.8,89.01
Der Kunde ist immer Mitgestalter des Wertes.,89.51,93.47
"Das heißt, es kommt sehr stark darauf an, wie er das Auto nutzt.",93.51,98.85
Ob er entsprechend plant.,100.22,103.82
"Ob er sich traut, den Autopilot zu nutzen.",105.01,108.35
Ob er dieses flächendeckende Strom nähert.,108.35,111.53
Ob er das Netzwerk tatsächlich in Anspruch nimmt.,111.53,113.39
Ob er sich in die Software einarbeitet und alle Finessen zu nutzen weiß.,113.79,120.17
Ob er sich in die Tesla Community einbringt und dort neue Menschen kennenlernt.,120.55,125.49
"All diese Faktoren beeinflussen den Wert, den der Kunde verspürt.",127.66,134.58
"Das heißt, es gibt keinen objektiven Wert eines Autos Tesla.",134.76,139.32
Fundamentale Prämisse Nummer drei.,140.04,142.57
"Alle Akteure sind Ressourcen, Integratoren.",142.57,147.27
Wir sprechen von sogenannten Operanten-Ressourcen mit T.,147.27,152.01
"Das ist Wissen, die Batterietechnologie zum Beispiel.",152.11,155.73
"Software, Autopilot, aber auch eine Philosophie.",156.11,163.55
"Und von sogenannten Operanden-Ressourcen, in unserem Fall im wesentlichen Zeit und Geld.",163.55,170.25
"Die Ressourcen, die Tesla nutzt, sind natürlich die Ressourcen, die Tesla nutzt.",170.49,172.61
"Die Ressourcen, die Tesla nutzt, sind natürlich die Ressourcen, die Tesla nutzt.",172.61,173.51
"Die Ressourcen, die Tesla nutzt, sind natürlich Zulieferer.",173.51,174.03
"Es sind aber auch Energieversorger, die das flächendeckende Strom-Tankstellen-Netzwerk zur Verfügung stellen.",174.49,185.07
"Es ist Spotify, die Musikplattform, die übrigens sehr zu empfehlen ist im Tesla.",185.49,192.23
"Es sind aber auch staatliche Ressourcen, Steuererleichterungen, Subventionen.",192.49,200.79
"Die Ressourcen, die der Kunde einbringt, sind seine Planungsfähigkeiten, seine Bereitschaft, sich auf den Gedanken einzulassen, je langsamer man fährt, desto früher kommt man an.",200.97,215.04
"Seine Bereitschaft, auch Softwarefehler zu verzeihen.",215.04,220.62
"Seine Compliance, das heißt den Autopiloten tatsächlich so zu nutzen, wie er gedacht ist und nicht während des Fahrens zu schlafen oder Filme zu gucken.",221.0,230.38
Oder auch sich tatsächlich in diese Tesla Community einzubringen.,230.38,238.94
Fundamentale Prämisse Nummer 3.,238.94,242.75
Fundamentale Prämisse Nummer 4.,246.28,247.76
Der Wert der Leistung wird ausschließlich durch den Kunden bestimmt.,247.98,254.58
Lassen Sie mich das an folgendem Beispiel näher erläutern.,254.58,259.08
Ein Tesla-Fahrer macht mit seiner geliebten Partnerin eine Spritztour.,259.08,264.78
Und macht ihr während dieser Autofahrt einen Heiratsantrag.,264.78,270.32
Die Partnerin nimmt diesen Heiratsantrag an und die beiden heiraten.,270.52,276.04
Für diesen Tesla-Fahrer wird das Auto Tesla für immer mit einer positiven Erfahrung verbunden sein.,276.04,283.74
"Versus ein Tesla-Fahrer bleibt auf der Autobahn liegen, muss vom Abschleppdienst zur nächsten Stromtankstelle geschleppt werden,",283.74,293.16
verpasst einen wichtigen Vorstellungstermin und verliert möglicherweise seinen Traumjob.,293.52,300.52
Für diesen Tesla-Fahrer ist das Auto mit einer negativen Erfahrung verbunden.,300.52,308.28
Lassen Sie mich die wichtigsten Punkte der Service Dominant Logic noch einmal zusammenfassen.,308.76,314.33
Ich möchte anfangen mit einem falschen Denken über Produkte.,314.33,318.03
Wir kaufen Produkte nicht wegen ihrer produktspezifischen Eigenschaften.,319.39,323.67
"Sondern weil sie uns einen Nutzen stiften, eben diesen Service.",323.67,327.95
"Wir kaufen Produkte, weil sie uns sogenannte Intangibles liefern.",327.95,334.07
"Also etwas nicht Greifbares, wie der Zugang zu einer Community, die Marke an sich, den Status, den wir erreichen, wenn wir ein bestimmtes Produkt nutzen.",334.07,344.99
"Wir kaufen Produkte, weil wir damit eine ganzheitliche Erfahrung machen.",344.99,350.12
Ein falsches Denken über Services wäre folgendes.,350.24,356.07
Services sind eine eigene Produktkategorie e. v. mit einem immateriell Leistungsergebnis.,356.07,364.59
E.V. ein Beratungsgespräch.,364.59,367.83
"Oder Services sind allenfalls ein Anhängsel für Produkte, im Sinne von Value-Added-Services.",368.92,380.22
Aber keinesfalls einusted Services.,380.24,383.24
im Vordergrund zu sehen. Ein aus der Service-Dominant-Logic richtiges Denken über Service wäre das,383.24,392.38
folgende. Service ist ein Prozess. Es werden Ressourcen eines Akteurs zum Nutzen eines anderen,392.38,401.77
"Akteurs integriert. Service oder andersrum gesprochen, ein Produkt ist ein Vehikel für",401.77,414.19
Service. Die Philosophie wird umgedreht und am Ende ist auch der Kunde als Leistungsnehmer,414.19,423.07
ein Service-Provider. Vielen Dank für die Aufmerksamkeit.,423.07,429.72
